,Time Elapsed/s,Agent Population,Food Population
0,0,1,0
1,0,2,0
2,0,3,0
3,0,4,0
4,0,5,0
5,0,6,0
6,0,7,0
7,0,8,0
8,0,9,0
9,0,10,0
10,0,10,0
11,0,10,0
12,0,10,0
13,0,10,0
14,0.7999999999999999,10.0,0.0
15,0.7999999999999999,10.0,1.0
16,1.7000000000000004,10.0,1.0
17,1.7000000000000004,10.0,2.0
18,1.9000000000000006,10.0,2.0
19,1.9000000000000006,10.0,3.0
20,2.0000000000000004,10.0,3.0
21,2.0000000000000004,10.0,4.0
22,3.1000000000000014,10.0,4.0
23,3.1000000000000014,10.0,5.0
24,3.2000000000000015,10.0,4.0
25,3.2000000000000015,10.0,4.0
26,3.2000000000000015,10.0,5.0
27,3.4000000000000017,10.0,5.0
28,3.4000000000000017,10.0,6.0
29,5.399999999999997,10.0,5.0
30,6.199999999999994,10.0,5.0
31,6.199999999999994,10.0,6.0
32,6.5999999999999925,10.0,6.0
33,6.5999999999999925,10.0,7.0
34,8.199999999999987,10.0,7.0
35,8.199999999999987,10.0,8.0
36,8.999999999999984,10.0,8.0
37,8.999999999999984,10.0,9.0
38,9.099999999999984,10.0,9.0
39,9.099999999999984,10.0,10.0
40,9.399999999999983,10.0,10.0
41,9.399999999999983,10.0,11.0
42,9.699999999999982,10.0,11.0
43,9.699999999999982,10.0,12.0
44,9.799999999999981,10.0,12.0
45,9.799999999999981,10.0,13.0
46,9.99999999999998,10.0,13.0
47,9.99999999999998,10.0,14.0
48,10.09999999999998,10.0,13.0
49,10.499999999999979,10.0,12.0
50,10.499999999999979,11.0,12.0
51,11.199999999999976,11.0,11.0
52,12.499999999999972,11.0,11.0
53,12.499999999999972,11.0,12.0
54,12.599999999999971,11.0,11.0
55,12.69999999999997,11.0,11.0
56,12.69999999999997,11.0,12.0
57,12.89999999999997,11.0,11.0
58,13.599999999999968,11.0,11.0
59,13.599999999999968,11.0,12.0
60,14.099999999999966,11.0,11.0
61,14.099999999999966,12.0,11.0
62,14.399999999999965,12.0,11.0
63,14.399999999999965,12.0,12.0
64,15.199999999999962,12.0,12.0
65,15.199999999999962,12.0,13.0
66,15.499999999999961,12.0,13.0
67,15.499999999999961,12.0,14.0
68,15.69999999999996,12.0,14.0
69,15.69999999999996,12.0,15.0
70,16.19999999999996,12.0,15.0
71,16.19999999999996,12.0,16.0
72,16.499999999999964,12.0,16.0
73,16.499999999999964,12.0,17.0
74,17.49999999999998,12.0,17.0
75,17.49999999999998,12.0,18.0
76,20.100000000000016,12.0,17.0
77,22.60000000000005,12.0,17.0
78,22.60000000000005,12.0,18.0
79,23.30000000000006,12.0,18.0
80,23.30000000000006,12.0,19.0
81,23.90000000000007,12.0,19.0
82,23.90000000000007,12.0,20.0
83,24.00000000000007,12.0,19.0
84,24.00000000000007,13.0,19.0
85,24.60000000000008,13.0,18.0
86,25.100000000000087,13.0,18.0
87,25.100000000000087,13.0,19.0
88,25.700000000000095,13.0,19.0
89,25.700000000000095,13.0,20.0
90,26.1000000000001,13.0,20.0
91,26.1000000000001,13.0,21.0
92,28.300000000000132,13.0,21.0
93,28.300000000000132,13.0,22.0
94,28.400000000000134,13.0,22.0
95,28.400000000000134,13.0,23.0
96,29.60000000000015,13.0,22.0
97,30.100000000000158,13.0,22.0
98,30.100000000000158,13.0,23.0
99,30.400000000000162,13.0,22.0
100,30.400000000000162,14.0,22.0
101,32.20000000000019,14.0,22.0
102,32.20000000000019,14.0,23.0
103,32.60000000000019,14.0,22.0
104,33.400000000000205,14.0,22.0
105,33.400000000000205,14.0,23.0
106,34.900000000000226,14.0,23.0
107,34.900000000000226,14.0,24.0
108,35.00000000000023,14.0,23.0
109,35.30000000000023,14.0,23.0
110,35.30000000000023,14.0,24.0
111,35.90000000000024,14.0,24.0
112,35.90000000000024,14.0,25.0
113,37.20000000000026,14.0,24.0
114,37.20000000000026,15.0,24.0
115,37.90000000000027,15.0,24.0
116,37.90000000000027,15.0,25.0
117,39.800000000000296,15.0,25.0
118,39.800000000000296,15.0,26.0
119,41.100000000000314,15.0,26.0
120,41.100000000000314,15.0,27.0
121,41.30000000000032,15.0,26.0
122,41.40000000000032,15.0,26.0
123,41.40000000000032,15.0,27.0
124,42.20000000000033,15.0,27.0
125,42.20000000000033,15.0,28.0
126,43.300000000000345,15.0,28.0
127,43.300000000000345,15.0,29.0
128,43.900000000000354,15.0,28.0
129,44.10000000000036,15.0,28.0
130,44.10000000000036,15.0,29.0
131,45.400000000000375,15.0,29.0
132,45.400000000000375,15.0,30.0
133,45.80000000000038,15.0,29.0
134,47.600000000000406,15.0,29.0
135,47.600000000000406,15.0,30.0
136,49.90000000000044,15.0,30.0
137,49.90000000000044,15.0,31.0
138,50.00000000000044,15.0,30.0
139,50.00000000000044,16.0,30.0
140,50.00000000000044,16.0,30.0
141,50.00000000000044,16.0,31.0
142,50.10000000000044,16.0,31.0
143,50.10000000000044,16.0,32.0
144,51.700000000000465,16.0,32.0
145,51.700000000000465,16.0,33.0
146,51.800000000000466,16.0,33.0
147,51.800000000000466,16.0,34.0
148,52.400000000000475,16.0,34.0
149,52.400000000000475,16.0,35.0
150,53.200000000000486,16.0,35.0
151,53.200000000000486,16.0,36.0
152,53.60000000000049,16.0,35.0
153,53.900000000000496,16.0,35.0
154,53.900000000000496,16.0,36.0
155,55.00000000000051,16.0,36.0
156,55.00000000000051,16.0,37.0
157,55.60000000000052,16.0,37.0
158,55.60000000000052,16.0,38.0
159,56.20000000000053,16.0,38.0
160,56.20000000000053,16.0,39.0
161,56.700000000000536,16.0,39.0
162,56.700000000000536,16.0,40.0
163,57.300000000000544,16.0,40.0
164,57.300000000000544,16.0,41.0
165,58.90000000000057,16.0,41.0
166,58.90000000000057,16.0,42.0
167,59.20000000000057,16.0,42.0
168,59.20000000000057,16.0,43.0
169,59.90000000000058,16.0,43.0
170,59.90000000000058,16.0,44.0
171,61.0000000000006,16.0,44.0
172,61.0000000000006,16.0,45.0
173,61.500000000000604,16.0,44.0
174,61.90000000000061,16.0,44.0
175,61.90000000000061,16.0,45.0
176,62.900000000000624,16.0,44.0
177,63.000000000000625,16.0,44.0
178,63.000000000000625,16.0,45.0
179,63.80000000000064,16.0,44.0
180,63.80000000000064,16.0,43.0
181,63.80000000000064,17.0,43.0
182,63.80000000000064,17.0,43.0
183,63.80000000000064,17.0,44.0
184,64.20000000000063,17.0,44.0
185,64.20000000000063,17.0,45.0
186,64.30000000000062,17.0,44.0
187,64.30000000000062,17.0,44.0
188,64.30000000000062,17.0,45.0
189,65.50000000000055,17.0,44.0
190,65.50000000000055,18.0,44.0
191,66.10000000000052,18.0,44.0
192,66.10000000000052,18.0,45.0
193,66.20000000000051,18.0,45.0
194,66.20000000000051,18.0,46.0
195,66.4000000000005,18.0,45.0
196,66.5000000000005,18.0,44.0
197,66.90000000000047,18.0,43.0
198,66.90000000000047,18.0,43.0
199,66.90000000000047,18.0,44.0
200,67.70000000000043,18.0,43.0
201,67.70000000000043,19.0,43.0
202,67.90000000000042,19.0,42.0
203,68.80000000000037,19.0,41.0
204,69.10000000000035,19.0,41.0
205,69.10000000000035,19.0,42.0
206,69.40000000000033,19.0,41.0
207,69.80000000000031,19.0,40.0
208,69.80000000000031,20.0,40.0
209,70.30000000000028,20.0,40.0
210,70.30000000000028,20.0,41.0
211,70.50000000000027,20.0,41.0
212,70.50000000000027,20.0,42.0
213,70.70000000000026,20.0,41.0
214,70.70000000000026,20.0,41.0
215,70.70000000000026,20.0,42.0
216,73.80000000000008,20.0,42.0
217,73.80000000000008,20.0,43.0
218,74.20000000000006,20.0,43.0
219,74.20000000000006,20.0,44.0
220,75.10000000000001,20.0,43.0
221,75.69999999999997,20.0,42.0
222,75.69999999999997,21.0,42.0
223,75.69999999999997,21.0,42.0
224,75.69999999999997,21.0,43.0
225,76.09999999999995,21.0,42.0
226,76.09999999999995,22.0,42.0
227,78.19999999999983,22.0,42.0
228,78.19999999999983,22.0,43.0
229,78.59999999999981,22.0,43.0
230,78.59999999999981,22.0,44.0
231,79.39999999999976,22.0,44.0
232,79.39999999999976,22.0,45.0
233,79.89999999999974,22.0,44.0
234,80.09999999999972,22.0,44.0
235,80.09999999999972,22.0,45.0
236,80.79999999999968,22.0,44.0
237,81.09999999999967,22.0,44.0
238,81.09999999999967,22.0,45.0
239,82.49999999999959,22.0,44.0
240,83.39999999999954,22.0,44.0
241,83.39999999999954,22.0,45.0
242,83.79999999999951,22.0,45.0
243,83.79999999999951,22.0,46.0
244,83.9999999999995,22.0,45.0
245,83.9999999999995,22.0,45.0
246,83.9999999999995,22.0,46.0
247,84.0999999999995,22.0,46.0
248,84.0999999999995,22.0,47.0
249,84.99999999999945,22.0,46.0
250,84.99999999999945,23.0,46.0
251,85.39999999999942,23.0,46.0
252,85.39999999999942,23.0,47.0
253,85.6999999999994,23.0,47.0
254,85.6999999999994,23.0,48.0
255,86.19999999999938,23.0,48.0
256,86.19999999999938,23.0,49.0
257,86.89999999999934,23.0,49.0
258,86.89999999999934,23.0,50.0
259,88.69999999999924,23.0,50.0
260,88.69999999999924,23.0,51.0
261,89.3999999999992,23.0,51.0
262,89.3999999999992,23.0,52.0
263,89.79999999999917,23.0,51.0
264,89.79999999999917,24.0,51.0
265,92.29999999999903,24.0,50.0
266,92.799999999999,24.0,49.0
267,93.89999999999894,24.0,48.0
268,93.89999999999894,25.0,48.0
269,95.19999999999887,25.0,48.0
270,95.19999999999887,25.0,49.0
271,95.29999999999886,25.0,48.0
272,95.49999999999885,25.0,48.0
273,95.49999999999885,25.0,49.0
274,96.69999999999878,25.0,49.0
275,96.69999999999878,25.0,50.0
276,97.09999999999876,25.0,49.0
277,97.29999999999875,25.0,48.0
278,97.69999999999872,25.0,48.0
279,97.69999999999872,25.0,49.0
280,97.79999999999872,25.0,48.0
